Index,keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
11177,suterberry,suterberry ash,image.3.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.2559.jpg,image.13045.jpg,image.5.jpg,image.960.jpg,image.13278.jpg,image.2578.jpg,image.960.jpg
6081,vertebrate,vertebrate chordate,image.3.jpg,image.13227.jpg,image.4.jpg,image.12942.jpg,image.1.jpg,image.2.jpg,image.7086.jpg,image.5.jpg,image.12343.jpg,image.8698.jpg,image.8698.jpg
8,attalea,attalea genus,image.3.jpg,image.137.jpg,image.4.jpg,image.135.jpg,image.1.jpg,image.2.jpg,image.136.jpg,image.138.jpg,image.5.jpg,image.139.jpg,image.135.jpg
839,funicular,funicular railroad,image.5002.jpg,image.244.jpg,image.3414.jpg,image.243.jpg,image.240.jpg,image.241.jpg,image.6397.jpg,image.5203.jpg,image.7554.jpg,image.6671.jpg,image.5002.jpg
9292,dolphin,dolphin odontoceti,image.3.jpg,image.6250.jpg,image.7371.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5610.jpg,image.5.jpg,image.3767.jpg,image.15132.jpg,image.3767.jpg
7798,archosaur,archosaur diapsid,image.3.jpg,image.5236.jpg,image.9047.jpg,image.347.jpg,image.4.jpg,image.5492.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.4474.jpg,image.5236.jpg
3800,tambour,tambour framework,image.340.jpg,image.1462.jpg,image.2912.jpg,image.7468.jpg,image.12813.jpg,image.343.jpg,image.12386.jpg,image.344.jpg,image.342.jpg,image.5857.jpg,image.7468.jpg
4560,arrow,arrow projectile,image.58.jpg,image.59.jpg,image.57.jpg,image.9057.jpg,image.56.jpg,image.15551.jpg,image.6211.jpg,image.1853.jpg,image.15830.jpg,image.60.jpg,image.9057.jpg
5861,holm-oak,holm-oak oak,image.3.jpg,image.11177.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.44.jpg,image.8752.jpg,image.5.jpg,image.10106.jpg,image.1589.jpg,image.11177.jpg
10245,sporozoa,sporozoa class,image.3.jpg,image.2265.jpg,image.6302.jpg,image.4.jpg,image.6876.jpg,image.1.jpg,image.2.jpg,image.3371.jpg,image.5.jpg,image.7541.jpg,image.6876.jpg
4043,hydrofluoric,hydrofluoric fluoride,image.491.jpg,image.4320.jpg,image.3752.jpg,image.11981.jpg,image.13269.jpg,image.6420.jpg,image.224.jpg,image.11471.jpg,image.222.jpg,image.220.jpg,image.11981.jpg
11897,quack,quack sound,image.4469.jpg,image.6709.jpg,image.4468.jpg,image.7954.jpg,image.333.jpg,image.2363.jpg,image.4472.jpg,image.4470.jpg,image.4471.jpg,image.13063.jpg,image.333.jpg
4441,chara,chara genus,image.3.jpg,image.4.jpg,image.15706.jpg,image.1.jpg,image.2.jpg,image.15910.jpg,image.1320.jpg,image.5.jpg,image.1560.jpg,image.6619.jpg,image.15706.jpg
9632,gymnocalycium,gymnocalycium genus,image.3.jpg,image.3597.jpg,image.4.jpg,image.707.jpg,image.1.jpg,image.2.jpg,image.8110.jpg,image.5.jpg,image.4952.jpg,image.2485.jpg,image.2485.jpg
10848,apocynaceae,apocynaceae family,image.3.jpg,image.6825.jpg,image.7582.jpg,image.4.jpg,image.8876.jpg,image.823.jpg,image.1.jpg,image.2.jpg,image.6877.jpg,image.5.jpg,image.6825.jpg
2685,goody,goody nutriment,image.436.jpg,image.8772.jpg,image.8626.jpg,image.9240.jpg,image.11032.jpg,image.437.jpg,image.434.jpg,image.14198.jpg,image.433.jpg,image.7287.jpg,image.14198.jpg
468,haw,haw fold,image.3.jpg,image.5897.jpg,image.279.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.3395.jpg,image.5895.jpg,image.5896.jpg,image.279.jpg
9594,fig,fig tree,image.3.jpg,image.4.jpg,image.7332.jpg,image.1.jpg,image.2.jpg,image.11794.jpg,image.12337.jpg,image.5780.jpg,image.5.jpg,image.6167.jpg,image.6167.jpg
8346,caladium,caladium arum,image.3.jpg,image.8792.jpg,image.7582.jpg,image.4.jpg,image.6811.jpg,image.7969.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.14192.jpg,image.14192.jpg
10153,equus,equus genus,image.3.jpg,image.5722.jpg,image.4.jpg,image.2556.jpg,image.1.jpg,image.2.jpg,image.4179.jpg,image.5.jpg,image.3396.jpg,image.12889.jpg,image.4179.jpg
