Index,keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
10810,myrica,myrica genus,image.3.jpg,image.10327.jpg,image.13960.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.10834.jpg,image.5.jpg,image.9517.jpg,image.8684.jpg,image.13960.jpg
5407,honker,honker goose,image.3.jpg,image.3673.jpg,image.8225.jpg,image.13584.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.3545.jpg,image.7656.jpg,image.5.jpg,image.7656.jpg
188,jet,jet lignite,image.2756.jpg,image.2755.jpg,image.2758.jpg,image.2757.jpg,image.2759.jpg,image.2760.jpg,image.2752.jpg,image.224.jpg,image.222.jpg,image.220.jpg,image.2752.jpg
1123,truck,truck transport,image.244.jpg,image.10298.jpg,image.243.jpg,image.10299.jpg,image.174.jpg,image.240.jpg,image.241.jpg,image.6361.jpg,image.6680.jpg,image.9353.jpg,image.6680.jpg
7021,comanche,comanche shoshone,image.191.jpg,image.2629.jpg,image.11207.jpg,image.10196.jpg,image.10333.jpg,image.5125.jpg,image.2867.jpg,image.1394.jpg,image.5126.jpg,image.3323.jpg,image.191.jpg
5857,tettigoniidae,tettigoniidae family,image.3.jpg,image.6231.jpg,image.8588.jpg,image.13895.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.2054.jpg,image.14549.jpg,image.5.jpg,image.13895.jpg
11568,eriobotrya,eriobotrya genus,image.3.jpg,image.10068.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.7098.jpg,image.5.jpg,image.8655.jpg,image.6720.jpg,image.1868.jpg,image.1868.jpg
6517,tobacconist,tobacconist shop,image.1701.jpg,image.3300.jpg,image.1700.jpg,image.13624.jpg,image.1702.jpg,image.8092.jpg,image.1699.jpg,image.5336.jpg,image.2788.jpg,image.1698.jpg,image.2788.jpg
6343,delicatessen,delicatessen shop,image.436.jpg,image.6971.jpg,image.2797.jpg,image.8690.jpg,image.437.jpg,image.12092.jpg,image.6164.jpg,image.434.jpg,image.6934.jpg,image.433.jpg,image.8690.jpg
10038,mullah,mullah muslim,image.11423.jpg,image.12390.jpg,image.279.jpg,image.7879.jpg,image.1625.jpg,image.895.jpg,image.894.jpg,image.4486.jpg,image.897.jpg,image.898.jpg,image.11423.jpg
1594,bronze,bronze color,image.5897.jpg,image.12065.jpg,image.12066.jpg,image.9332.jpg,image.11692.jpg,image.7554.jpg,image.4462.jpg,image.11068.jpg,image.11368.jpg,image.7763.jpg,image.12065.jpg
6630,merchant,merchant businessperson,image.7983.jpg,image.1701.jpg,image.1700.jpg,image.7575.jpg,image.1702.jpg,image.1699.jpg,image.10630.jpg,image.8816.jpg,image.1698.jpg,image.488.jpg,image.7983.jpg
7689,hajj,hajj pilgrimage,image.3362.jpg,image.7651.jpg,image.9742.jpg,image.12121.jpg,image.895.jpg,image.9688.jpg,image.894.jpg,image.5883.jpg,image.897.jpg,image.898.jpg,image.7651.jpg
500,retrovirus,retrovirus virus,image.5561.jpg,image.5064.jpg,image.6197.jpg,image.786.jpg,image.2800.jpg,image.4574.jpg,image.6198.jpg,image.6192.jpg,image.4287.jpg,image.5551.jpg,image.6192.jpg
9551,player,player contestant,image.1288.jpg,image.8947.jpg,image.186.jpg,image.10452.jpg,image.188.jpg,image.189.jpg,image.11062.jpg,image.187.jpg,image.4774.jpg,image.2436.jpg,image.11062.jpg
