Index,keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
9780,parhelion,parhelion speckle,image.3804.jpg,image.2617.jpg,image.12749.jpg,image.1316.jpg,image.2981.jpg,image.6942.jpg,image.3806.jpg,image.3805.jpg,image.3765.jpg,image.3803.jpg,image.12749.jpg
12438,kalksalpeter,kalksalpeter nitrate,image.4578.jpg,image.11179.jpg,image.4866.jpg,image.5107.jpg,image.3065.jpg,image.10888.jpg,image.224.jpg,image.5037.jpg,image.222.jpg,image.220.jpg,image.4578.jpg
5999,usd,usd dollar,image.1378.jpg,image.2691.jpg,image.11874.jpg,image.5702.jpg,image.2149.jpg,image.3910.jpg,image.4462.jpg,image.1376.jpg,image.9848.jpg,image.1379.jpg,image.5702.jpg
2197,rugelach,rugelach pastry,image.9271.jpg,image.436.jpg,image.13497.jpg,image.12204.jpg,image.2996.jpg,image.13280.jpg,image.437.jpg,image.434.jpg,image.433.jpg,image.13394.jpg,image.9271.jpg
4051,leishmaniasis,leishmaniasis infection,image.11240.jpg,image.786.jpg,image.3017.jpg,image.13492.jpg,image.11097.jpg,image.4310.jpg,image.2727.jpg,image.12816.jpg,image.3963.jpg,image.1934.jpg,image.3963.jpg
1216,celastraceae,celastraceae family,image.3.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.10719.jpg,image.10720.jpg,image.5.jpg,image.10721.jpg,image.9922.jpg,image.9102.jpg,image.9102.jpg
7701,escalator,escalator staircase,image.244.jpg,image.243.jpg,image.15099.jpg,image.240.jpg,image.241.jpg,image.9722.jpg,image.5971.jpg,image.5802.jpg,image.1419.jpg,image.5842.jpg,image.5971.jpg
3362,coatdress,coatdress dress,image.340.jpg,image.2349.jpg,image.588.jpg,image.2465.jpg,image.10811.jpg,image.343.jpg,image.344.jpg,image.6396.jpg,image.342.jpg,image.8444.jpg,image.2465.jpg
2501,old-norse,old-norse germanic,image.10201.jpg,image.9311.jpg,image.8144.jpg,image.12055.jpg,image.12693.jpg,image.8398.jpg,image.13981.jpg,image.471.jpg,image.12697.jpg,image.13976.jpg,image.13976.jpg
7671,wetting,wetting state,image.3528.jpg,image.9954.jpg,image.2767.jpg,image.12813.jpg,image.9215.jpg,image.5660.jpg,image.5985.jpg,image.224.jpg,image.222.jpg,image.220.jpg,image.9215.jpg
725,ytterbium,ytterbium metal,image.1611.jpg,image.7964.jpg,image.5919.jpg,image.7965.jpg,image.224.jpg,image.7961.jpg,image.222.jpg,image.2804.jpg,image.220.jpg,image.4431.jpg,image.7961.jpg
8188,sweet-william,sweet-william pink,image.3.jpg,image.9839.jpg,image.8225.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.10662.jpg,image.6408.jpg,image.11870.jpg,image.11870.jpg
978,thistle,thistle weed,image.3.jpg,image.7874.jpg,image.4.jpg,image.5596.jpg,image.9530.jpg,image.1.jpg,image.2.jpg,image.7981.jpg,image.9529.jpg,image.5.jpg,image.9529.jpg
808,linaria,linaria genus,image.2571.jpg,image.3.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.8517.jpg,image.5.jpg,image.901.jpg,image.6539.jpg,image.8447.jpg,image.2571.jpg
11042,alcyonaria,alcyonaria order,image.2258.jpg,image.3.jpg,image.14681.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.1434.jpg,image.5935.jpg,image.5.jpg,image.7249.jpg,image.2258.jpg
1475,lipstick,lipstick makeup,image.340.jpg,image.2017.jpg,image.11696.jpg,image.2226.jpg,image.11694.jpg,image.343.jpg,image.3766.jpg,image.10462.jpg,image.344.jpg,image.342.jpg,image.11694.jpg
9664,encantado,encantado dolphin,image.3.jpg,image.5262.jpg,image.14706.jpg,image.11174.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.9348.jpg,image.13454.jpg,image.5.jpg,image.11174.jpg
7814,threskiornis,threskiornis genus,image.3.jpg,image.11928.jpg,image.11538.jpg,image.4.jpg,image.3755.jpg,image.5016.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.5062.jpg,image.11928.jpg
10910,alder,alder tree,image.3.jpg,image.6879.jpg,image.9199.jpg,image.3620.jpg,image.4.jpg,image.13788.jpg,image.1.jpg,image.2.jpg,image.2255.jpg,image.5.jpg,image.2255.jpg
9209,blow,blow displace,image.2493.jpg,image.12684.jpg,image.11179.jpg,image.12430.jpg,image.11704.jpg,image.5411.jpg,image.4213.jpg,image.8591.jpg,image.10445.jpg,image.6990.jpg,image.12430.jpg
4906,reseda,reseda herb,image.3.jpg,image.10411.jpg,image.7305.jpg,image.4.jpg,image.13665.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.409.jpg,image.14435.jpg,image.7305.jpg
