Index,keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
5330,europium,europium metal,image.5008.jpg,image.12756.jpg,image.2304.jpg,image.6625.jpg,image.13963.jpg,image.224.jpg,image.222.jpg,image.6671.jpg,image.220.jpg,image.10195.jpg,image.6625.jpg
4531,ginglymostoma,ginglymostoma genus,image.3.jpg,image.13624.jpg,image.3623.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.8266.jpg,image.2746.jpg,image.5.jpg,image.6632.jpg,image.2746.jpg
9866,pinole,pinole meal,image.13239.jpg,image.436.jpg,image.2334.jpg,image.1823.jpg,image.4055.jpg,image.8302.jpg,image.437.jpg,image.434.jpg,image.433.jpg,image.8194.jpg,image.13239.jpg
365,breaker,breaker wave,image.4873.jpg,image.125.jpg,image.4877.jpg,image.4876.jpg,image.565.jpg,image.4875.jpg,image.569.jpg,image.3696.jpg,image.567.jpg,image.566.jpg,image.4873.jpg
10414,tacca,tacca genus,image.3.jpg,image.4734.jpg,image.8966.jpg,image.10403.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.11281.jpg,image.5.jpg,image.6342.jpg,image.4734.jpg
12846,tanager,tanager oscine,image.3.jpg,image.9869.jpg,image.6320.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.6330.jpg,image.5.jpg,image.4461.jpg,image.6934.jpg,image.6330.jpg
147,state,state department,image.2210.jpg,image.928.jpg,image.2214.jpg,image.930.jpg,image.2212.jpg,image.2213.jpg,image.20.jpg,image.931.jpg,image.929.jpg,image.275.jpg,image.2210.jpg
1668,pay-phone,pay-phone phone,image.293.jpg,image.12287.jpg,image.5159.jpg,image.292.jpg,image.11734.jpg,image.294.jpg,image.290.jpg,image.8619.jpg,image.11073.jpg,image.291.jpg,image.11073.jpg
11374,highchair,highchair chair,image.9978.jpg,image.293.jpg,image.2954.jpg,image.292.jpg,image.8930.jpg,image.294.jpg,image.5956.jpg,image.290.jpg,image.291.jpg,image.5418.jpg,image.9978.jpg
7650,differential,differential wheel,image.293.jpg,image.1684.jpg,image.10843.jpg,image.292.jpg,image.12614.jpg,image.294.jpg,image.290.jpg,image.13224.jpg,image.291.jpg,image.3065.jpg,image.12614.jpg
8599,morgue,morgue building,image.723.jpg,image.11599.jpg,image.5183.jpg,image.6120.jpg,image.9160.jpg,image.726.jpg,image.722.jpg,image.6270.jpg,image.724.jpg,image.725.jpg,image.6120.jpg
7788,thyme,thyme thymian,image.436.jpg,image.1946.jpg,image.9304.jpg,image.5637.jpg,image.505.jpg,image.4704.jpg,image.437.jpg,image.434.jpg,image.4725.jpg,image.433.jpg,image.5637.jpg
3456,bandage,bandage dressing,image.3992.jpg,image.7594.jpg,image.9520.jpg,image.786.jpg,image.15099.jpg,image.9360.jpg,image.9045.jpg,image.1200.jpg,image.936.jpg,image.11711.jpg,image.9520.jpg
3271,focalize,focalize adjust,image.12893.jpg,image.1461.jpg,image.7623.jpg,image.10203.jpg,image.10125.jpg,image.11278.jpg,image.350.jpg,image.3512.jpg,image.9802.jpg,image.6392.jpg,image.10203.jpg
4940,onagraceae,onagraceae family,image.3.jpg,image.2594.jpg,image.4361.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.4593.jpg,image.5893.jpg,image.9034.jpg,image.5893.jpg
9223,handbell,handbell chime,image.8616.jpg,image.4469.jpg,image.4468.jpg,image.5595.jpg,image.4472.jpg,image.5167.jpg,image.4470.jpg,image.12634.jpg,image.4471.jpg,image.12607.jpg,image.5167.jpg
6230,athlete,athlete contestant,image.10447.jpg,image.186.jpg,image.743.jpg,image.188.jpg,image.1637.jpg,image.189.jpg,image.8993.jpg,image.187.jpg,image.4486.jpg,image.11380.jpg,image.4486.jpg
11451,kurta,kurta shirt,image.340.jpg,image.3067.jpg,image.6574.jpg,image.10468.jpg,image.343.jpg,image.344.jpg,image.9448.jpg,image.342.jpg,image.13767.jpg,image.6630.jpg,image.6630.jpg
10436,ceratodus,ceratodus lungfish,image.3.jpg,image.4.jpg,image.13006.jpg,image.1.jpg,image.2.jpg,image.3759.jpg,image.5.jpg,image.12108.jpg,image.12895.jpg,image.1642.jpg,image.3759.jpg
9047,man-of-the-earth,man-of-the-earth morning-glory,image.3.jpg,image.4.jpg,image.2136.jpg,image.1.jpg,image.2.jpg,image.2711.jpg,image.5.jpg,image.9562.jpg,image.12306.jpg,image.2578.jpg,image.2578.jpg
3926,cypraeidae,cypraeidae family,image.3.jpg,image.5919.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.6386.jpg,image.5.jpg,image.13052.jpg,image.11385.jpg,image.2525.jpg,image.2525.jpg
10995,fox,fox algonquin,image.2629.jpg,image.5125.jpg,image.2867.jpg,image.7445.jpg,image.14201.jpg,image.1394.jpg,image.5126.jpg,image.13052.jpg,image.4935.jpg,image.4049.jpg,image.4049.jpg
8080,mogra,mogra jasmine,image.3.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.10746.jpg,image.4989.jpg,image.5.jpg,image.10381.jpg,image.5895.jpg,image.14791.jpg,image.4989.jpg
78,runner,runner traveler,image.1258.jpg,image.1257.jpg,image.186.jpg,image.1256.jpg,image.188.jpg,image.189.jpg,image.187.jpg,image.1254.jpg,image.1255.jpg,image.249.jpg,image.249.jpg
7088,bourbon,bourbon whisky,image.5602.jpg,image.3980.jpg,image.436.jpg,image.5908.jpg,image.14018.jpg,image.8996.jpg,image.437.jpg,image.11539.jpg,image.434.jpg,image.433.jpg,image.11539.jpg
2247,third-rail,third-rail rail,image.244.jpg,image.2701.jpg,image.243.jpg,image.7728.jpg,image.13584.jpg,image.9731.jpg,image.7372.jpg,image.240.jpg,image.241.jpg,image.10876.jpg,image.7372.jpg
10614,psychotherapy,psychotherapy therapy,image.10123.jpg,image.11837.jpg,image.786.jpg,image.2095.jpg,image.7878.jpg,image.3256.jpg,image.10889.jpg,image.14028.jpg,image.1271.jpg,image.6922.jpg,image.3256.jpg
12801,divi-divi,divi-divi tree,image.3.jpg,image.8474.jpg,image.14606.jpg,image.4.jpg,image.10215.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.153.jpg,image.21.jpg,image.8474.jpg
10654,reading,reading language,image.12479.jpg,image.837.jpg,image.1725.jpg,image.6879.jpg,image.5242.jpg,image.12720.jpg,image.9236.jpg,image.6888.jpg,image.471.jpg,image.6564.jpg,image.1725.jpg
7451,clostridium,clostridium eubacterium,image.3.jpg,image.9978.jpg,image.4.jpg,image.15774.jpg,image.1.jpg,image.2.jpg,image.5611.jpg,image.5.jpg,image.843.jpg,image.488.jpg,image.843.jpg
8980,lilangeni,lilangeni unit,image.3890.jpg,image.1378.jpg,image.9534.jpg,image.4865.jpg,image.12385.jpg,image.5486.jpg,image.5335.jpg,image.1376.jpg,image.10127.jpg,image.1379.jpg,image.12385.jpg
2279,vzv,vzv herpes,image.13036.jpg,image.786.jpg,image.9241.jpg,image.11879.jpg,image.7884.jpg,image.10113.jpg,image.9977.jpg,image.13632.jpg,image.1168.jpg,image.2989.jpg,image.2989.jpg
8123,mastwood,mastwood poon,image.3.jpg,image.16094.jpg,image.4.jpg,image.10984.jpg,image.9003.jpg,image.7096.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.11975.jpg,image.10984.jpg
3897,stickpin,stickpin pin,image.340.jpg,image.7473.jpg,image.7485.jpg,image.2079.jpg,image.602.jpg,image.3149.jpg,image.11109.jpg,image.343.jpg,image.344.jpg,image.342.jpg,image.11109.jpg
10365,hornbeam,hornbeam tree,image.3.jpg,image.11244.jpg,image.2661.jpg,image.5952.jpg,image.14320.jpg,image.4.jpg,image.11613.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.11613.jpg
7177,telemark,telemark turning,image.186.jpg,image.7280.jpg,image.188.jpg,image.189.jpg,image.1717.jpg,image.7433.jpg,image.7931.jpg,image.3095.jpg,image.187.jpg,image.6979.jpg,image.7433.jpg
9312,dialysis,dialysis analysis,image.9575.jpg,image.4382.jpg,image.12213.jpg,image.786.jpg,image.8863.jpg,image.4604.jpg,image.10024.jpg,image.4096.jpg,image.351.jpg,image.13249.jpg,image.4096.jpg
12167,sponsorship,sponsorship support,image.5075.jpg,image.1701.jpg,image.1700.jpg,image.11999.jpg,image.1702.jpg,image.10230.jpg,image.6097.jpg,image.1699.jpg,image.3536.jpg,image.1698.jpg,image.11999.jpg
3631,agene,agene trichloride,image.1018.jpg,image.11667.jpg,image.4245.jpg,image.11385.jpg,image.278.jpg,image.4886.jpg,image.224.jpg,image.1988.jpg,image.222.jpg,image.220.jpg,image.1018.jpg
11448,1960s,1960s decade,image.3408.jpg,image.7641.jpg,image.2792.jpg,image.537.jpg,image.3410.jpg,image.1331.jpg,image.2196.jpg,image.3409.jpg,image.9607.jpg,image.10567.jpg,image.2792.jpg
6272,ruscaceae,ruscaceae family,image.3.jpg,image.13149.jpg,image.9732.jpg,image.6863.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.10450.jpg,image.5.jpg,image.10992.jpg,image.10450.jpg
8616,carabinier,carabinier rifleman,image.58.jpg,image.59.jpg,image.3660.jpg,image.57.jpg,image.56.jpg,image.4383.jpg,image.5210.jpg,image.9910.jpg,image.13871.jpg,image.60.jpg,image.4383.jpg
392,linebacker,linebacker back,image.5145.jpg,image.186.jpg,image.188.jpg,image.5147.jpg,image.189.jpg,image.5148.jpg,image.5149.jpg,image.187.jpg,image.350.jpg,image.5150.jpg,image.5145.jpg
3191,cornus,cornus genus,image.3.jpg,image.5914.jpg,image.10370.jpg,image.4.jpg,image.1423.jpg,image.1.jpg,image.2.jpg,image.6061.jpg,image.5.jpg,image.13913.jpg,image.5914.jpg
16,leucanthemum,leucanthemum genus,image.3.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.277.jpg,image.5.jpg,image.278.jpg,image.276.jpg,image.275.jpg,image.274.jpg,image.274.jpg
4200,boarding,boarding departure,image.244.jpg,image.11346.jpg,image.243.jpg,image.8417.jpg,image.11283.jpg,image.240.jpg,image.241.jpg,image.14339.jpg,image.4395.jpg,image.378.jpg,image.378.jpg
2672,chapel,chapel worship,image.4686.jpg,image.723.jpg,image.9295.jpg,image.726.jpg,image.7139.jpg,image.722.jpg,image.724.jpg,image.11143.jpg,image.725.jpg,image.5896.jpg,image.4686.jpg
6164,vedalia,vedalia ladybird,image.3.jpg,image.12186.jpg,image.11602.jpg,image.4.jpg,image.4003.jpg,image.1.jpg,image.2.jpg,image.6797.jpg,image.5.jpg,image.3074.jpg,image.3074.jpg
3493,polka,polka danceability,image.10836.jpg,image.4469.jpg,image.4468.jpg,image.2556.jpg,image.12891.jpg,image.2058.jpg,image.7476.jpg,image.4472.jpg,image.4470.jpg,image.4471.jpg,image.10836.jpg
9651,turritis,turritis genus,image.3.jpg,image.8208.jpg,image.4320.jpg,image.9773.jpg,image.2674.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.8014.jpg,image.5.jpg,image.4320.jpg
7394,nara,nara agency,image.9696.jpg,image.1837.jpg,image.1834.jpg,image.1835.jpg,image.1836.jpg,image.6503.jpg,image.12816.jpg,image.4521.jpg,image.9423.jpg,image.9807.jpg,image.12816.jpg
4839,gibbon,gibbon ape,image.3.jpg,image.8849.jpg,image.4.jpg,image.693.jpg,image.1.jpg,image.2.jpg,image.3988.jpg,image.9070.jpg,image.5.jpg,image.3363.jpg,image.8849.jpg
593,fcdo,fcdo ministry,image.6982.jpg,image.6987.jpg,image.928.jpg,image.5867.jpg,image.930.jpg,image.6985.jpg,image.931.jpg,image.929.jpg,image.6984.jpg,image.6986.jpg,image.6982.jpg
11986,ascocarp,ascocarp sporocarp,image.3.jpg,image.8137.jpg,image.14385.jpg,image.2304.jpg,image.4.jpg,image.4001.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.14196.jpg,image.4001.jpg
