Index,keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
5701,arius,arius genus,image.3.jpg,image.2462.jpg,image.4147.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.2057.jpg,image.5.jpg,image.5289.jpg,image.5898.jpg,image.5289.jpg
229,scapegoat,scapegoat victim,image.3278.jpg,image.58.jpg,image.59.jpg,image.1306.jpg,image.57.jpg,image.3279.jpg,image.3280.jpg,image.1637.jpg,image.56.jpg,image.60.jpg,image.3278.jpg
7085,quarrying,quarrying production,image.11599.jpg,image.6689.jpg,image.10505.jpg,image.4067.jpg,image.2082.jpg,image.224.jpg,image.222.jpg,image.5764.jpg,image.220.jpg,image.8843.jpg,image.6689.jpg
4001,chrysotherapy,chrysotherapy chemotherapy,image.7364.jpg,image.3025.jpg,image.6130.jpg,image.786.jpg,image.13164.jpg,image.2275.jpg,image.11885.jpg,image.7975.jpg,image.6529.jpg,image.2618.jpg,image.3025.jpg
11752,shorthorn,shorthorn beef,image.3.jpg,image.77.jpg,image.106.jpg,image.4.jpg,image.9957.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.438.jpg,image.12936.jpg,image.9957.jpg
9035,javelina,javelina peccary,image.3.jpg,image.3890.jpg,image.5668.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.8719.jpg,image.3867.jpg,image.5.jpg,image.10713.jpg,image.3867.jpg
7590,keep,keep fastness,image.723.jpg,image.7970.jpg,image.1342.jpg,image.9362.jpg,image.9865.jpg,image.726.jpg,image.722.jpg,image.5191.jpg,image.724.jpg,image.725.jpg,image.1342.jpg
3007,drimys,drimys genus,image.3.jpg,image.4573.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.1544.jpg,image.5.jpg,image.13861.jpg,image.8444.jpg,image.14156.jpg,image.14156.jpg
6594,palmistry,palmistry divination,image.5496.jpg,image.9600.jpg,image.8368.jpg,image.895.jpg,image.1320.jpg,image.9381.jpg,image.4030.jpg,image.894.jpg,image.897.jpg,image.898.jpg,image.5496.jpg
4587,flugelhorn,flugelhorn brass,image.3349.jpg,image.5518.jpg,image.4469.jpg,image.8112.jpg,image.4468.jpg,image.7901.jpg,image.4472.jpg,image.4470.jpg,image.4471.jpg,image.5738.jpg,image.7901.jpg
4221,ateles,ateles platyrrhinian,image.3.jpg,image.8852.jpg,image.15738.jpg,image.4.jpg,image.3428.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.11438.jpg,image.6074.jpg,image.11438.jpg
8114,hurdling,hurdling event,image.186.jpg,image.188.jpg,image.189.jpg,image.187.jpg,image.4202.jpg,image.9351.jpg,image.601.jpg,image.4298.jpg,image.12392.jpg,image.13249.jpg,image.13249.jpg
7563,ffl,ffl legion,image.364.jpg,image.13036.jpg,image.58.jpg,image.59.jpg,image.9437.jpg,image.57.jpg,image.11771.jpg,image.56.jpg,image.2709.jpg,image.60.jpg,image.2709.jpg
5597,miller,miller artisan,image.964.jpg,image.10843.jpg,image.8787.jpg,image.1900.jpg,image.7783.jpg,image.4185.jpg,image.966.jpg,image.967.jpg,image.965.jpg,image.7287.jpg,image.7287.jpg
