keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
welder,welder artisan,image.15523.jpg,image.293.jpg,image.11022.jpg,image.7593.jpg,image.6603.jpg,image.1065.jpg,image.292.jpg,image.294.jpg,image.290.jpg,image.291.jpg,image.15523.jpg
crax,crax genus,image.3.jpg,image.4165.jpg,image.2912.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.11637.jpg,image.10755.jpg,image.10540.jpg,image.11637.jpg
parahyaena,parahyaena hyena,image.3.jpg,image.10051.jpg,image.4.jpg,image.5056.jpg,image.5586.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.10029.jpg,image.5924.jpg,image.10051.jpg
fatwa,fatwa opinion,image.8059.jpg,image.166.jpg,image.4884.jpg,image.770.jpg,image.170.jpg,image.3395.jpg,image.7297.jpg,image.167.jpg,image.168.jpg,image.169.jpg,image.8059.jpg
pt-boat,pt-boat torpedo-boat,image.2419.jpg,image.58.jpg,image.59.jpg,image.57.jpg,image.1500.jpg,image.56.jpg,image.3034.jpg,image.7199.jpg,image.10989.jpg,image.60.jpg,image.1500.jpg
hepatica,hepatica herb,image.3.jpg,image.10237.jpg,image.1162.jpg,image.13761.jpg,image.1679.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.2604.jpg,image.1679.jpg
calamine,calamine mineral,image.11304.jpg,image.14960.jpg,image.14932.jpg,image.14217.jpg,image.6942.jpg,image.224.jpg,image.12961.jpg,image.222.jpg,image.13529.jpg,image.220.jpg,image.14217.jpg
synchrotron,synchrotron cyclotron,image.293.jpg,image.6711.jpg,image.292.jpg,image.4504.jpg,image.9719.jpg,image.294.jpg,image.290.jpg,image.291.jpg,image.6204.jpg,image.4485.jpg,image.9719.jpg
museum,museum deposit,image.2419.jpg,image.723.jpg,image.12756.jpg,image.1147.jpg,image.726.jpg,image.7204.jpg,image.722.jpg,image.724.jpg,image.6935.jpg,image.725.jpg,image.7204.jpg
mercurialis,mercurialis genus,image.3.jpg,image.10207.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.2249.jpg,image.4058.jpg,image.5.jpg,image.4329.jpg,image.9300.jpg,image.4058.jpg
lido,lido facility,image.15049.jpg,image.3216.jpg,image.5633.jpg,image.39.jpg,image.40.jpg,image.37.jpg,image.38.jpg,image.36.jpg,image.407.jpg,image.15593.jpg,image.15049.jpg
freshet,freshet flow,image.7441.jpg,image.10109.jpg,image.12413.jpg,image.707.jpg,image.565.jpg,image.2184.jpg,image.569.jpg,image.567.jpg,image.566.jpg,image.14845.jpg,image.12413.jpg
jeunes-turcs,jeunes-turcs insurgent,image.6262.jpg,image.7270.jpg,image.928.jpg,image.930.jpg,image.10706.jpg,image.5066.jpg,image.931.jpg,image.2250.jpg,image.929.jpg,image.935.jpg,image.7270.jpg
liriodendron,liriodendron genus,image.3.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.4520.jpg,image.8088.jpg,image.10715.jpg,image.10273.jpg,image.3245.jpg,image.8088.jpg
cornetfish,cornetfish teleost,image.3.jpg,image.556.jpg,image.4.jpg,image.7919.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.7920.jpg,image.7921.jpg,image.7922.jpg,image.556.jpg
canal,canal waterway,image.1684.jpg,image.12287.jpg,image.39.jpg,image.40.jpg,image.13454.jpg,image.37.jpg,image.38.jpg,image.3792.jpg,image.36.jpg,image.311.jpg,image.3792.jpg
somniferum,somniferum poppy,image.3.jpg,image.2890.jpg,image.4160.jpg,image.7005.jpg,image.4.jpg,image.92.jpg,image.1.jpg,image.2.jpg,image.9506.jpg,image.5.jpg,image.4160.jpg
musician,musician performer,image.4469.jpg,image.3057.jpg,image.4468.jpg,image.5627.jpg,image.6149.jpg,image.12362.jpg,image.11187.jpg,image.4472.jpg,image.4470.jpg,image.4471.jpg,image.3057.jpg
cumulus,cumulus cloud,image.5614.jpg,image.17337.jpg,image.4189.jpg,image.14811.jpg,image.565.jpg,image.4695.jpg,image.8523.jpg,image.569.jpg,image.567.jpg,image.566.jpg,image.8523.jpg
colocasia,colocasia genus,image.3.jpg,image.14145.jpg,image.4.jpg,image.11867.jpg,image.1.jpg,image.2.jpg,image.277.jpg,image.5.jpg,image.5443.jpg,image.2778.jpg,image.2778.jpg
n2o8u,n2o8u nitrate,image.7371.jpg,image.7939.jpg,image.8574.jpg,image.43.jpg,image.7332.jpg,image.10810.jpg,image.224.jpg,image.222.jpg,image.14301.jpg,image.220.jpg,image.43.jpg
