keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
eumeninae,eumeninae vespid,image.3.jpg,image.4361.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.8099.jpg,image.11305.jpg,image.11539.jpg,image.7806.jpg,image.8099.jpg
exhibition,exhibition exposition,image.723.jpg,image.13283.jpg,image.4043.jpg,image.6570.jpg,image.6451.jpg,image.726.jpg,image.4713.jpg,image.722.jpg,image.724.jpg,image.725.jpg,image.4043.jpg
myoglobinuria,myoglobinuria symptom,image.786.jpg,image.8943.jpg,image.16176.jpg,image.4712.jpg,image.11986.jpg,image.7699.jpg,image.7063.jpg,image.1298.jpg,image.14500.jpg,image.2445.jpg,image.7063.jpg
dialysis,dialysis analysis,image.9575.jpg,image.4382.jpg,image.12213.jpg,image.786.jpg,image.8863.jpg,image.4604.jpg,image.10024.jpg,image.4096.jpg,image.351.jpg,image.13249.jpg,image.4096.jpg
ceratopsia,ceratopsia order,image.3.jpg,image.3613.jpg,image.9953.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.2951.jpg,image.5157.jpg,image.5857.jpg,image.3613.jpg
jingoism,jingoism patriotism,image.14571.jpg,image.928.jpg,image.12080.jpg,image.930.jpg,image.7981.jpg,image.931.jpg,image.929.jpg,image.9064.jpg,image.10133.jpg,image.7369.jpg,image.12080.jpg
titration,titration analysis,image.6345.jpg,image.8688.jpg,image.4031.jpg,image.4506.jpg,image.14087.jpg,image.8164.jpg,image.224.jpg,image.9695.jpg,image.222.jpg,image.220.jpg,image.14087.jpg
lyreflower,lyreflower herb,image.3.jpg,image.4951.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.13777.jpg,image.10756.jpg,image.5.jpg,image.4030.jpg,image.3922.jpg,image.13777.jpg
pinicola,pinicola genus,image.8628.jpg,image.3.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5506.jpg,image.12986.jpg,image.5.jpg,image.7456.jpg,image.7698.jpg,image.8628.jpg
crackerberry,crackerberry cornel,image.3.jpg,image.7304.jpg,image.4.jpg,image.8995.jpg,image.1.jpg,image.2.jpg,image.7816.jpg,image.5.jpg,image.4726.jpg,image.5802.jpg,image.7304.jpg
immunization,immunization protection,image.4715.jpg,image.9959.jpg,image.5441.jpg,image.14916.jpg,image.786.jpg,image.1624.jpg,image.3429.jpg,image.10132.jpg,image.1482.jpg,image.1973.jpg,image.9959.jpg
neocolonialism,neocolonialism colonialism,image.928.jpg,image.4954.jpg,image.930.jpg,image.6041.jpg,image.931.jpg,image.11079.jpg,image.929.jpg,image.1243.jpg,image.3206.jpg,image.11407.jpg,image.6041.jpg
turbidity,turbidity cloudiness,image.14407.jpg,image.3290.jpg,image.1587.jpg,image.14920.jpg,image.7292.jpg,image.10322.jpg,image.224.jpg,image.11975.jpg,image.222.jpg,image.220.jpg,image.10322.jpg
dog's-mercury,dog's-mercury herb,image.3.jpg,image.7198.jpg,image.10849.jpg,image.4.jpg,image.7969.jpg,image.1.jpg,image.2.jpg,image.3898.jpg,image.5.jpg,image.7297.jpg,image.7969.jpg
crusade,crusade expedition,image.13407.jpg,image.58.jpg,image.59.jpg,image.57.jpg,image.6004.jpg,image.56.jpg,image.510.jpg,image.6708.jpg,image.60.jpg,image.300.jpg,image.510.jpg
boy,boy male,image.3.jpg,image.4.jpg,image.693.jpg,image.3716.jpg,image.9731.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.5971.jpg,image.10702.jpg,image.9731.jpg
oriel,oriel bay-windows,image.13539.jpg,image.723.jpg,image.10494.jpg,image.726.jpg,image.1573.jpg,image.10942.jpg,image.4130.jpg,image.722.jpg,image.724.jpg,image.725.jpg,image.10494.jpg
2-hitter,2-hitter baseball,image.7198.jpg,image.186.jpg,image.2674.jpg,image.188.jpg,image.3822.jpg,image.189.jpg,image.187.jpg,image.445.jpg,image.4151.jpg,image.8156.jpg,image.3822.jpg
polyoma,polyoma papovavirus,image.786.jpg,image.7531.jpg,image.9033.jpg,image.6085.jpg,image.1847.jpg,image.5481.jpg,image.1237.jpg,image.9830.jpg,image.3036.jpg,image.10553.jpg,image.10553.jpg
cybercafe,cybercafe cafe,image.664.jpg,image.2546.jpg,image.15458.jpg,image.1654.jpg,image.1575.jpg,image.11743.jpg,image.1653.jpg,image.15348.jpg,image.1650.jpg,image.15473.jpg,image.15458.jpg
usd,usd dollar,image.1378.jpg,image.2691.jpg,image.11874.jpg,image.5702.jpg,image.2149.jpg,image.3910.jpg,image.4462.jpg,image.1376.jpg,image.9848.jpg,image.1379.jpg,image.5702.jpg
