keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
mons,mons fat,image.7988.jpg,image.887.jpg,image.11852.jpg,image.786.jpg,image.8970.jpg,image.3993.jpg,image.6412.jpg,image.2741.jpg,image.10180.jpg,image.14831.jpg,image.11852.jpg
honeyberry,honeyberry honeysuckle,image.3.jpg,image.3157.jpg,image.3649.jpg,image.10729.jpg,image.6263.jpg,image.4.jpg,image.4504.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.3649.jpg
photocopier,photocopier copier,image.293.jpg,image.1030.jpg,image.9437.jpg,image.9995.jpg,image.292.jpg,image.3716.jpg,image.294.jpg,image.2570.jpg,image.290.jpg,image.291.jpg,image.1030.jpg
sorex,sorex genus,image.3.jpg,image.2126.jpg,image.2078.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.9802.jpg,image.1921.jpg,image.7392.jpg,image.2078.jpg
erythronium,erythronium genus,image.3.jpg,image.137.jpg,image.4.jpg,image.13175.jpg,image.1.jpg,image.2.jpg,image.1919.jpg,image.5.jpg,image.14393.jpg,image.1299.jpg,image.13175.jpg
puddingwife,puddingwife wrasse,image.3.jpg,image.7934.jpg,image.11088.jpg,image.91.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.12326.jpg,image.35.jpg,image.7934.jpg
left,left place,image.15050.jpg,image.3122.jpg,image.1719.jpg,image.9652.jpg,image.7546.jpg,image.3717.jpg,image.7547.jpg,image.12332.jpg,image.4606.jpg,image.14276.jpg,image.1719.jpg
hyperhidrosis,hyperhidrosis perspiration,image.3680.jpg,image.8743.jpg,image.2223.jpg,image.786.jpg,image.5613.jpg,image.6102.jpg,image.2274.jpg,image.2593.jpg,image.4886.jpg,image.12380.jpg,image.3680.jpg
plectranthus,plectranthus houseplant,image.3.jpg,image.8395.jpg,image.5867.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.6697.jpg,image.5.jpg,image.3246.jpg,image.13712.jpg,image.6697.jpg
enterobacteriaceae,enterobacteriaceae family,image.11028.jpg,image.2494.jpg,image.12402.jpg,image.786.jpg,image.6545.jpg,image.12389.jpg,image.3461.jpg,image.645.jpg,image.4988.jpg,image.5858.jpg,image.645.jpg
araucaria,araucaria conifer,image.3.jpg,image.14000.jpg,image.4.jpg,image.2306.jpg,image.2821.jpg,image.1.jpg,image.2.jpg,image.10890.jpg,image.10732.jpg,image.5.jpg,image.2306.jpg
streambed,streambed bed,image.39.jpg,image.40.jpg,image.3754.jpg,image.37.jpg,image.3136.jpg,image.38.jpg,image.4358.jpg,image.36.jpg,image.5182.jpg,image.10289.jpg,image.10289.jpg
male-fern,male-fern woodfern,image.3.jpg,image.9346.jpg,image.9349.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.9347.jpg,image.9348.jpg,image.5.jpg,image.9350.jpg,image.9346.jpg
carancha,carancha caracara,image.3.jpg,image.5980.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.8466.jpg,image.583.jpg,image.5.jpg,image.9688.jpg,image.275.jpg,image.583.jpg
policeman,policeman lawman,image.166.jpg,image.8359.jpg,image.6018.jpg,image.170.jpg,image.6343.jpg,image.5853.jpg,image.13609.jpg,image.167.jpg,image.168.jpg,image.169.jpg,image.5853.jpg
lactuca,lactuca genus,image.3.jpg,image.3421.jpg,image.12730.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.10936.jpg,image.5.jpg,image.6708.jpg,image.5300.jpg,image.12730.jpg
hairdresser,hairdresser artisan,image.340.jpg,image.3121.jpg,image.4571.jpg,image.12368.jpg,image.343.jpg,image.3898.jpg,image.344.jpg,image.342.jpg,image.3765.jpg,image.8459.jpg,image.12368.jpg
tempt,tempt provoke,image.652.jpg,image.10760.jpg,image.11461.jpg,image.8390.jpg,image.13941.jpg,image.4999.jpg,image.12948.jpg,image.7314.jpg,image.4897.jpg,image.1034.jpg,image.13941.jpg
beefsteak,beefsteak steak,image.8431.jpg,image.1106.jpg,image.436.jpg,image.14002.jpg,image.8571.jpg,image.9549.jpg,image.8523.jpg,image.437.jpg,image.434.jpg,image.433.jpg,image.8431.jpg
inflammation,inflammation symptom,image.9438.jpg,image.1257.jpg,image.3540.jpg,image.786.jpg,image.9028.jpg,image.11492.jpg,image.10017.jpg,image.265.jpg,image.7325.jpg,image.13561.jpg,image.265.jpg
duel,duel combat,image.13054.jpg,image.58.jpg,image.59.jpg,image.57.jpg,image.1161.jpg,image.8041.jpg,image.56.jpg,image.9994.jpg,image.5883.jpg,image.60.jpg,image.9994.jpg
