keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
tantilla,tantilla genus,image.3.jpg,image.3205.jpg,image.3203.jpg,image.1820.jpg,image.4.jpg,image.2557.jpg,image.2347.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.1820.jpg
serranus,serranus genus,image.3.jpg,image.1119.jpg,image.1118.jpg,image.4.jpg,image.1120.jpg,image.1.jpg,image.2.jpg,image.1116.jpg,image.5.jpg,image.1117.jpg,image.1116.jpg
myocardium,myocardium muscle,image.8335.jpg,image.213.jpg,image.5033.jpg,image.10968.jpg,image.786.jpg,image.15111.jpg,image.7997.jpg,image.8974.jpg,image.4436.jpg,image.7894.jpg,image.10968.jpg
pharyngitis,pharyngitis disease,image.8092.jpg,image.786.jpg,image.14002.jpg,image.9242.jpg,image.8135.jpg,image.10707.jpg,image.11385.jpg,image.12483.jpg,image.2686.jpg,image.711.jpg,image.8092.jpg
pink,pink colour,image.723.jpg,image.8390.jpg,image.15392.jpg,image.694.jpg,image.8331.jpg,image.726.jpg,image.722.jpg,image.724.jpg,image.13289.jpg,image.725.jpg,image.8331.jpg
tekerőlant,tekerőlant instrument,image.12755.jpg,image.12628.jpg,image.4469.jpg,image.4847.jpg,image.4468.jpg,image.2555.jpg,image.12254.jpg,image.4472.jpg,image.4470.jpg,image.4471.jpg,image.12755.jpg
dollar,dollar coin,image.8060.jpg,image.1378.jpg,image.8438.jpg,image.10858.jpg,image.1002.jpg,image.1376.jpg,image.13603.jpg,image.1379.jpg,image.8617.jpg,image.313.jpg,image.8060.jpg
edit,edit alter,image.10914.jpg,image.4223.jpg,image.6319.jpg,image.14109.jpg,image.5825.jpg,image.14509.jpg,image.4779.jpg,image.4735.jpg,image.3921.jpg,image.7234.jpg,image.7234.jpg
renting,renting transaction,image.6711.jpg,image.1701.jpg,image.1700.jpg,image.1702.jpg,image.347.jpg,image.2491.jpg,image.1699.jpg,image.6356.jpg,image.8855.jpg,image.1698.jpg,image.6711.jpg
psychic,psychic occultist,image.2323.jpg,image.6593.jpg,image.6780.jpg,image.11481.jpg,image.9903.jpg,image.895.jpg,image.361.jpg,image.894.jpg,image.897.jpg,image.898.jpg,image.9903.jpg
parricide,parricide murder,image.166.jpg,image.6138.jpg,image.5444.jpg,image.170.jpg,image.8734.jpg,image.3396.jpg,image.167.jpg,image.168.jpg,image.169.jpg,image.2737.jpg,image.6138.jpg
wilco,wilco shrub,image.3.jpg,image.10760.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.14548.jpg,image.13963.jpg,image.5.jpg,image.1752.jpg,image.5973.jpg,image.5973.jpg
basketball,basketball game,image.186.jpg,image.10002.jpg,image.188.jpg,image.189.jpg,image.7797.jpg,image.187.jpg,image.8867.jpg,image.11437.jpg,image.4537.jpg,image.13476.jpg,image.10002.jpg
misanthropy,misanthropy hatred,image.1474.jpg,image.4349.jpg,image.1475.jpg,image.1478.jpg,image.4348.jpg,image.1477.jpg,image.1476.jpg,image.3257.jpg,image.685.jpg,image.3961.jpg,image.685.jpg
biopiracy,biopiracy larceny,image.166.jpg,image.1149.jpg,image.2335.jpg,image.4866.jpg,image.170.jpg,image.8912.jpg,image.9325.jpg,image.167.jpg,image.168.jpg,image.169.jpg,image.4866.jpg
sylvite,sylvite mineral,image.5574.jpg,image.1029.jpg,image.4023.jpg,image.4695.jpg,image.10253.jpg,image.224.jpg,image.222.jpg,image.11237.jpg,image.220.jpg,image.11236.jpg,image.1029.jpg
