keyword,context,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,gold_key
counterintelligence,counterintelligence intelligence,image.4195.jpg,image.58.jpg,image.59.jpg,image.12246.jpg,image.5730.jpg,image.57.jpg,image.13256.jpg,image.56.jpg,image.13075.jpg,image.60.jpg,image.4195.jpg
merger,merger union,image.10694.jpg,image.6027.jpg,image.3151.jpg,image.1210.jpg,image.10345.jpg,image.9309.jpg,image.5794.jpg,image.10136.jpg,image.7230.jpg,image.7891.jpg,image.9309.jpg
reseda,reseda herb,image.3.jpg,image.10411.jpg,image.7305.jpg,image.4.jpg,image.13665.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.409.jpg,image.14435.jpg,image.7305.jpg
quasar,quasar body,image.3804.jpg,image.7520.jpg,image.4944.jpg,image.570.jpg,image.10668.jpg,image.5662.jpg,image.9122.jpg,image.3806.jpg,image.3805.jpg,image.3803.jpg,image.9122.jpg
yorkshires,yorkshires quickbread,image.173.jpg,image.436.jpg,image.12126.jpg,image.12908.jpg,image.9212.jpg,image.437.jpg,image.434.jpg,image.1615.jpg,image.4735.jpg,image.433.jpg,image.12126.jpg
v-day,v-day day,image.58.jpg,image.59.jpg,image.11047.jpg,image.2464.jpg,image.57.jpg,image.7954.jpg,image.6176.jpg,image.56.jpg,image.3326.jpg,image.60.jpg,image.3326.jpg
paddock,paddock pen,image.964.jpg,image.9161.jpg,image.13523.jpg,image.12134.jpg,image.7098.jpg,image.714.jpg,image.15909.jpg,image.966.jpg,image.967.jpg,image.965.jpg,image.12134.jpg
pretend,pretend misrepresent,image.1091.jpg,image.12737.jpg,image.867.jpg,image.6709.jpg,image.9179.jpg,image.121.jpg,image.6036.jpg,image.9212.jpg,image.1459.jpg,image.5738.jpg,image.12737.jpg
polemoniaceae,polemoniaceae family,image.3.jpg,image.3752.jpg,image.6383.jpg,image.6382.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.4526.jpg,image.5.jpg,image.6381.jpg,image.4526.jpg
cabbage-palm,cabbage-palm palmetto,image.3.jpg,image.1971.jpg,image.6820.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.8337.jpg,image.12184.jpg,image.711.jpg,image.711.jpg
prefabrication,prefabrication manufacturing,image.293.jpg,image.15094.jpg,image.292.jpg,image.9901.jpg,image.2821.jpg,image.294.jpg,image.290.jpg,image.3136.jpg,image.10955.jpg,image.291.jpg,image.10955.jpg
adenovirus,adenovirus virus,image.3.jpg,image.10970.jpg,image.3595.jpg,image.9343.jpg,image.4.jpg,image.1.jpg,image.2.jpg,image.5.jpg,image.6607.jpg,image.3035.jpg,image.6607.jpg
incense,incense compound,image.6459.jpg,image.7485.jpg,image.10745.jpg,image.7838.jpg,image.224.jpg,image.13832.jpg,image.10715.jpg,image.222.jpg,image.6658.jpg,image.220.jpg,image.7838.jpg
cortex,cortex structure,image.442.jpg,image.10088.jpg,image.3740.jpg,image.6530.jpg,image.786.jpg,image.7345.jpg,image.8812.jpg,image.438.jpg,image.3500.jpg,image.2301.jpg,image.8812.jpg
hotel,hotel building,image.723.jpg,image.1409.jpg,image.726.jpg,image.3201.jpg,image.10935.jpg,image.10133.jpg,image.722.jpg,image.724.jpg,image.5739.jpg,image.725.jpg,image.1409.jpg
